img	comment	related text	question	answer
08530-1lands04.jpg	a mountain with a mountain in the background			
07618-70david.jpg	a man and a woman standing in a dark room			
		a man and a woman stand in a dark room	What do a man and a woman stand in?	in a dark room
		a man and a woman stand in a dark room	Who stand in a dark room?	a man and a woman
17526-4deposit.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
30805-pieta.jpg	a group of people sitting around a building			
		a group of people sit around a building	What do a group of people sit around?	a building
		a group of people sit around a building	What sit around a building?	a group of people
30363-polyptic.jpg	a large ornate clock on the side of a building			
30484-salviati.jpg	a group of people standing in front of a window			
		a group of people stand in front of a window	What stand in front of a window?	a group of people
		a group of people stand in front of a window	What do a group of people stand in?	in front of a window
26192-virgin.jpg	a black and white photo of a woman holding an umbrella			
		a black and white photo of a woman hold an umbrella	What hold an umbrella?	a black and white photo of a woman
		a black and white photo of a woman hold an umbrella	What do a black and white photo of a woman hold?	an umbrella
05290-4lastjud.jpg	an old photo of a woman holding a bat			
		an old photo of a woman hold a bat	What hold a bat?	an old photo of a woman
		an old photo of a woman hold a bat	What do an old photo of a woman hold?	a bat
17259-auvers19.jpg	a garden with flowers and plants in it			
28474-mountai.jpg	a view of a mountain with a mountain in the background			
08819-andrew.jpg	a group of people sitting on top of a horse			
		a group of people sit on top of a horse	What sit on top of a horse?	a group of people
		a group of people sit on top of a horse	What do a group of people sit on?	on top of a horse
		a group of people sit on top of a horse	Where do a group of people sit?	on top of a horse
38730-barbara.jpg	a statue of a person in a costume			
22580-3rules.jpg	a group of people standing next to a wall			
		a group of people stand next to a wall	What stand next to a wall?	a group of people
		a group of people stand next to a wall	What do a group of people stand next to?	to a wall
15866-paris2.jpg	a group of people that are in a room			
32263-15pansyr.jpg	a group of people that are standing in the grass			
		a group of people that are stand in the grass	What do a group of people that are stand in?	in the grass
		a group of people that are stand in the grass	What stand in the grass?	a group of people that are
14635-2north7.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
40882-04scenes.jpg	a group of people sitting on a beach			
		a group of people sit on a beach	What sit on a beach?	a group of people
		a group of people sit on a beach	What do a group of people sit on?	on a beach
09649-01barber.jpg	a painting of a bird on the side of a building			
04108-italian.jpg	a group of people riding horses down a dirt road			
33346-musician.jpg	a man sitting on a bed reading a book			
		a man sit on a bed reading a book	Who sit on a bed reading a book?	a man
		a man sit on a bed reading a book	What do a man sit on a bed reading?	a book
08978-00landsc.jpg	a group of people standing next to a river			
		a group of people stand next to a river	What stand next to a river?	a group of people
		a group of people stand next to a river	What do a group of people stand next to?	to a river
16788-2north3.jpg	a statue of a man sitting on top of a sign			
		a statue of a man sit on top of a sign	What do a statue of a man sit on?	on top of a sign
		a statue of a man sit on top of a sign	What sit on top of a sign?	a statue of a man
		a statue of a man sit on top of a sign	Where do a statue of a man sit?	on top of a sign
18240-0601grec.jpg	a man in a black jacket is talking on a cell phone			
		a man in a black jacket is talking on a cell phone	Who is talking on a cell phone?	a man in a black jacket
		a man in a black jacket is talking on a cell phone	What is a man in a black jacket talking on?	on a cell phone
03529-dessert.jpg	a wooden table topped with a lamp and a lamp			
		a wooden table topped with a lamp and a lamp	What topped with a lamp and a lamp?	a wooden table
		a wooden table topped with a lamp and a lamp	What did a wooden table top with?	with a lamp and a lamp
22497-41jerome.jpg	a statue of a horse and a brown elephant			
31217-08resur1.jpg	a statue of a man standing next to a statue			
		a statue of a man stand next to a statue	What do a statue of a man stand next to?	to a statue
		a statue of a man stand next to a statue	What stand next to a statue?	a statue of a man
22717-5funeral.jpg	a large painting of a man and a woman			
03175-apotheos.jpg	a painting of a man sitting on top of a vase			
		a painting of a man sit on top of a vase	What sit on top of a vase?	a painting of a man
		a painting of a man sit on top of a vase	What do a painting of a man sit on?	on top of a vase
		a painting of a man sit on top of a vase	Where do a painting of a man sit?	on top of a vase
36102-presenta.jpg	a group of people that are in a room			
29994-partridg.jpg	a couple of dogs that are standing in the grass			
		a couple of dogs that are stand in the grass	What do a couple of dogs that are stand in?	in the grass
		a couple of dogs that are stand in the grass	What stand in the grass?	a couple of dogs that are
15862-lapiths.jpg	a group of people that are on some elephants			
42394-cannonsh.jpg	a boat that is floating in the water			
12961-cardinal.jpg	a man in a red jacket is sitting on a blanket			
		a man in a red jacket is sitting on a blanket	Who is sitting on a blanket?	a man in a red jacket
		a man in a red jacket is sitting on a blanket	What is a man in a red jacket sitting on?	on a blanket
16403-mary02.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
00683-vallomb2.jpg	a man standing next to a statue of a man			
		a man stand next to a statue of a man	Who stand next to a statue of a man?	a man
		a man stand next to a statue of a man	What do a man stand next to?	to a statue of a man
27056-frederic.jpg	a man with a beard and a black hat			
10557-levada5.jpg	a group of people standing next to a statue			
		a group of people stand next to a statue	What stand next to a statue?	a group of people
		a group of people stand next to a statue	What do a group of people stand next to?	to a statue
42838-07cruci1.jpg	a group of people standing next to a horse			
		a group of people stand next to a horse	What stand next to a horse?	a group of people
		a group of people stand next to a horse	What do a group of people stand next to?	to a horse
23336-03young.jpg	a man wearing a black hat and a hat			
		a man wear a black hat and a hat	Who wear a black hat and a hat?	a man
		a man wear a black hat and a hat	What do a man wear?	a black hat and a hat
20673-courtyar.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
23066-7michael.jpg	a large painting of a painting on a wall			
44173-ships.jpg	a group of people standing on top of a wooden boat			
		a group of people stand on top of a wooden boat	What do a group of people stand on?	on top of a wooden boat
		a group of people stand on top of a wooden boat	Where do a group of people stand?	on top of a wooden boat
		a group of people stand on top of a wooden boat	What stand on top of a wooden boat?	a group of people
19792-elect01.jpg	a group of people sitting around a table			
		a group of people sit around a table	What do a group of people sit around?	around a table
		a group of people sit around a table	What sit around a table?	a group of people
25948-flora1.jpg	a woman sitting on a couch holding a piece of paper			
		a woman sit on a couch holding a piece of paper	What do a woman sit on a couch holding?	a piece of paper
		a woman sit on a couch holding a piece of paper	What do a woman sit on a couch holding a piece of?	of paper
		a woman sit on a couch holding a piece of paper	Who sit on a couch holding a piece of paper?	a woman
24437-distrib.jpg	a group of people standing next to a building			
		a group of people stand next to a building	What do a group of people stand next to?	to a building
		a group of people stand next to a building	What stand next to a building?	a group of people
25064-coronati.jpg	a woman holding a teddy bear in her hands			
		a woman hold a teddy bear in her hands	What do a woman hold a teddy bear in?	in her hands
00460-princess.jpg	a woman and a child are laying in bed			
		a woman and a child are laying in bed	What are a woman and a child laying in?	in bed
		a woman and a child are laying in bed	Who are laying in bed?	a woman and a child
10941-canon.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
13433-2holzhau.jpg	a man and a woman standing next to each other			
		a man and a woman stand next to each other	Who stand next to each other?	a man and a woman
		a man and a woman stand next to each other	What do a man and a woman stand next to?	to each other
20150-concert1.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
05690-shepdrea.jpg	a woman sitting on a bed with a dog			
		a woman sit on a bed with a dog	What do a woman sit on with a dog?	on a bed
		a woman sit on a bed with a dog	Who sit on a bed with a dog?	a woman
		a woman sit on a bed with a dog	What do a woman sit on a bed with?	with a dog
22636-06annunc.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
17110-3arles24.jpg	a river with trees and trees in the background			
15123-selfport.jpg	a woman in a leather jacket sitting in the dark			
		a woman in a leather jacket sit in the dark	Who sit in the dark?	a woman in a leather jacket
		a woman in a leather jacket sit in the dark	What do a woman in a leather jacket sit in?	in the dark
30557-nessus_d.jpg	a couple of women standing next to each other			
		a couple of women stand next to each other	What stand next to each other?	a couple of women
		a couple of women stand next to each other	What do a couple of women stand next to?	to each other
42398-goeree.jpg	a bunch of boats that are sitting in the water			
		a bunch of boats that are sit in the water	What sit in the water?	a bunch of boats that are
		a bunch of boats that are sit in the water	What do a bunch of boats that are sit in?	in the water
22644-07meetin.jpg	a couple of women standing next to a statue			
		a couple of women stand next to a statue	What stand next to a statue?	a couple of women
		a couple of women stand next to a statue	What do a couple of women stand next to?	to a statue
21910-busch.jpg	a close up of a person with a beard			
41386-10colom1.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
44278-9rome.jpg	a large body of water with many boats in it			
03459-moses.jpg	a group of people standing around a group of horses			
		a group of people stand around a group of horses	What do a group of people stand around?	around a group of horses
		a group of people stand around a group of horses	What stand around a group of horses?	a group of people
00410-2christ2.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
24845-altar.jpg	a painting of a woman in a dress			
41884-vendra07.jpg	a large white building with a large painting			
38536-2allegor.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
41385-09altar.jpg	a painting of a man standing next to a clock			
		a painting of a man stand next to a clock	What do a painting of a man stand next to?	to a clock
		a painting of a man stand next to a clock	What stand next to a clock?	a painting of a man
32779-21graces.jpg	a couple of women standing next to each other			
		a couple of women stand next to each other	What stand next to each other?	a couple of women
		a couple of women stand next to each other	What do a couple of women stand next to?	to each other
39672-11madonc.jpg	a woman sitting on a couch next to a baby			
		a woman sit on a couch next to a baby	Who do a woman sit on a couch next to?	to a baby
		a woman sit on a couch next to a baby	Who sit on a couch next to a baby?	a woman
44685-madonna.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
14573-erthal.jpg	a picture of a woman in a mirror			
28366-3martket.jpg	a couple of women standing next to each other			
		a couple of women stand next to each other	What stand next to each other?	a couple of women
		a couple of women stand next to each other	What do a couple of women stand next to?	to each other
24130-1christ.jpg	a little boy sitting next to a little boy			
		a little boy sit next to a little boy	Who sit next to a little boy?	a little boy
		a little boy sit next to a little boy	Who do a little boy sit next to?	to a little boy
31862-adultere.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
24436-baptism.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
08630-vanitas.jpg	a close up of a cow in a vase			
38218-gallopin.jpg	a man riding on the back of a brown horse			
06308-howard.jpg	a man wearing a leather jacket and a tie			
		a man wear a leather jacket and a tie	Who wear a leather jacket and a tie?	a man
		a man wear a leather jacket and a tie	What do a man wear?	a leather jacket and a tie
02720-rudolf.jpg	a group of people riding horses on a beach			
38007-altarpi.jpg	a grandfather clock in the middle of a room			
03982-bello210.jpg	a man standing on a beach next to a river			
		a man stand on a beach next to a river	Who stand on a beach next to a river?	a man
		a man stand on a beach next to a river	What do a man stand on a beach next to?	to a river
04836-vanitas.jpg	a room filled with lots of different items			
41316-02cruci0.jpg	a clock on the wall of a building			
15572-5donor.jpg	a statue of a man standing next to a building			
		a statue of a man stand next to a building	What do a statue of a man stand next to?	to a building
		a statue of a man stand next to a building	What stand next to a building?	a statue of a man
11107-pensive.jpg	a man sitting on top of a pile of snow			
		a man sit on top of a pile of snow	Where do a man sit?	on top of a pile of snow
		a man sit on top of a pile of snow	Who sit on top of a pile of snow?	a man
		a man sit on top of a pile of snow	What do a man sit on?	on top of a pile of snow
17962-03fortu2.jpg	a statue of a man holding a piece of paper			
		a statue of a man hold a piece of paper	What hold a piece of paper?	a statue of a man
		a statue of a man hold a piece of paper	What do a statue of a man hold a piece of?	of paper
		a statue of a man hold a piece of paper	What do a statue of a man hold?	a piece of paper
40392-5dragon1.jpg	a statue of a horse and a horse on a street			
11580-bardi.jpg	a man is standing in front of a building			
		a man is standing in front of a building	Who is standing in front of a building?	a man
		a man is standing in front of a building	What is a man standing in?	in front of a building
34068-3renoi16.jpg	a statue of a woman holding a cat			
		a statue of a woman hold a cat	What do a statue of a woman hold?	a cat
		a statue of a woman hold a cat	What hold a cat?	a statue of a woman
41398-14deposi.jpg	a painting of a couple sitting in front of a wall			
		a painting of a couple sit in front of a wall	What do a painting of a couple sit in?	in front of a wall
		a painting of a couple sit in front of a wall	What sit in front of a wall?	a painting of a couple
17088-orchar09.jpg	a tree that has some flowers in it			
14715-101perdi.jpg	a woman sitting next to a dog and a tree			
		a woman sit next to a dog and a tree	What do a woman sit next to?	to a dog and a tree
		a woman sit next to a dog and a tree	Who sit next to a dog and a tree?	a woman
00733-5mira4.jpg	a white vase with a statue on top of it			
20019-birdspax.jpg	a group of birds that are standing on the ground			
		a group of birds that are stand on the ground	What do a group of birds that are stand on?	on the ground
		a group of birds that are stand on the ground	What stand on the ground?	a group of birds that are
16602-stucco.jpg	a wall with a picture of a man on it			
05369-bouquet.jpg	a vase filled with flowers on a table			
		a vase filled with flowers on a table	What do a vase fill with?	with flowers on a table
		a vase filled with flowers on a table	What filled with flowers on a table?	a vase
07919-magdalen.jpg	a woman sitting on a bench talking on a cell phone			
		a woman sit on a bench talking on a cell phone	Who sit on a bench talking on a cell phone?	a woman
		a woman sit on a bench talking on a cell phone	What do a woman sit on a bench talking on?	on a cell phone
14921-3ponta03.jpg	a table with a pot and some food on it			
08053-young_m.jpg	a woman in a dress standing next to a child			
		a woman in a dress stand next to a child	Who stand next to a child?	a woman in a dress
		a woman in a dress stand next to a child	Who do a woman in a dress stand next to?	to a child
00246-virgin.jpg	a young boy sitting on top of a wooden chair			
		a young boy sit on top of a wooden chair	What do a young boy sit on?	on top of a wooden chair
		a young boy sit on top of a wooden chair	Who sit on top of a wooden chair?	a young boy
		a young boy sit on top of a wooden chair	Where do a young boy sit?	on top of a wooden chair
14632-2north4.jpg	a large group of people standing in front of a building			
		a large group of people stand in front of a building	What stand in front of a building?	a large group of people
		a large group of people stand in front of a building	What do a large group of people stand in?	in front of a building
20048-08adorsh.jpg	a group of people standing around a cow			
		a group of people stand around a cow	What stand around a cow?	a group of people
		a group of people stand around a cow	What do a group of people stand around?	around a cow
07224-canal5111.jpg	a group of people on a boat in the water			
21200-extensiv.jpg	a group of people standing next to a river			
		a group of people stand next to a river	What stand next to a river?	a group of people
		a group of people stand next to a river	What do a group of people stand next to?	to a river
26066-17rein4.jpg	a picture of a woman in a dress			
21199-deathnio.jpg	a group of people riding on the backs of horses			
05262-18mocked.jpg	a man and woman dressed in costumes and a dog			
		a man and woman dressed in costumes and a dog	Who dressed in costumes and a dog?	a man and woman
		a man and woman dressed in costumes and a dog	What do a man and woman dress in?	in costumes and a dog
33425-68newtes.jpg	a couple of people standing next to each other			
		a couple of people stand next to each other	What stand next to each other?	a couple of people
		a couple of people stand next to each other	What do a couple of people stand next to?	to each other
07612-65lazar.jpg	a group of people standing around a group of elephants			
		a group of people stand around a group of elephants	What do a group of people stand around?	around a group of elephants
		a group of people stand around a group of elephants	What stand around a group of elephants?	a group of people
29449-gothic1.jpg	a large building with people walking around it			
		a large building with people walk around it	What do a large building with people walk around?	around it
35043-woodedla.jpg	a tree in the middle of a forest			
35493-26mytho.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
21340-selfport.jpg	a group of people sitting on top of a bed			
		a group of people sit on top of a bed	What sit on top of a bed?	a group of people
		a group of people sit on top of a bed	What do a group of people sit on?	on top of a bed
		a group of people sit on top of a bed	Where do a group of people sit?	on top of a bed
17975-00wall1.jpg	a painting of a painting on the side of a building			
13921-p_tulp.jpg	a woman in a black dress standing next to a tree			
		a woman in a black dress stand next to a tree	What do a woman in a black dress stand next to?	to a tree
		a woman in a black dress stand next to a tree	Who stand next to a tree?	a woman in a black dress
17226-copies18.jpg	a statue of a man standing next to a statue			
		a statue of a man stand next to a statue	What do a statue of a man stand next to?	to a statue
		a statue of a man stand next to a statue	What stand next to a statue?	a statue of a man
44454-hunting.jpg	a group of horses that are in a field			
09493-portlady.jpg	a young woman wearing a hat and scarf			
		a young woman wear a hat and scarf	What do a young woman wear?	a hat and scarf
		a young woman wear a hat and scarf	Who wear a hat and scarf?	a young woman
41189-zsigismu.jpg	a man in a costume and a costume			
29702-clearing.jpg	a person standing in a forest next to a forest			
		a person stand in a forest next to a forest	Who stand in a forest next to a forest?	a person
		a person stand in a forest next to a forest	What do a person stand in a forest next to?	to a forest
28483-winter_l.jpg	a herd of horses standing next to a forest			
		a herd of horses stand next to a forest	What do a herd of horses stand next to?	to a forest
		a herd of horses stand next to a forest	What stand next to a forest?	a herd of horses
08965-stillif3.jpg	a table that has some food on it			
31112-3burial1.jpg	a couple of people standing next to each other			
		a couple of people stand next to each other	What stand next to each other?	a couple of people
		a couple of people stand next to each other	What do a couple of people stand next to?	to each other
29703-classica.jpg	a couple of people standing next to a fountain			
		a couple of people stand next to a fountain	What stand next to a fountain?	a couple of people
		a couple of people stand next to a fountain	What do a couple of people stand next to?	to a fountain
42223-0209vela.jpg	a man in a black jacket is talking on a cell phone			
		a man in a black jacket is talking on a cell phone	Who is talking on a cell phone?	a man in a black jacket
		a man in a black jacket is talking on a cell phone	What is a man in a black jacket talking on?	on a cell phone
36975-a_hunt.jpg	a group of people riding on the backs of horses			
29380-st_john.jpg	a statue of a man sitting on a wooden floor			
		a statue of a man sit on a wooden floor	What do a statue of a man sit on?	on a wooden floor
		a statue of a man sit on a wooden floor	What sit on a wooden floor?	a statue of a man
43423-girardon.jpg	a woman is sitting in front of a man			
		a woman is sitting in front of a man	Who is sitting in front of a man?	a woman
		a woman is sitting in front of a man	What is a woman sitting in?	in front of a man
11463-landscap.jpg	a bunch of plants that are on a table			
23008-lamentat.jpg	a man and a woman sitting on a couch			
		a man and a woman sit on a couch	Who sit on a couch?	a man and a woman
		a man and a woman sit on a couch	What do a man and a woman sit on?	on a couch
04578-pendant2.jpg	a woman holding a pair of scissors in her hands			
		a woman hold a pair of scissors in her hands	What do a woman hold a pair of scissors in?	in her hands
31361-shipwrec.jpg	a large brown bear standing in the water			
25162-vittore1.jpg	a statue of a man in a dress and tie			
10762-portpate.jpg	a woman in a dress is standing next to a tree			
		a woman in a dress is standing next to a tree	Who is standing next to a tree?	a woman in a dress
		a woman in a dress is standing next to a tree	What is a woman in a dress standing next to?	to a tree
21607-mytholo1.jpg	a couple of people standing next to each other			
		a couple of people stand next to each other	What stand next to each other?	a couple of people
		a couple of people stand next to each other	What do a couple of people stand next to?	to each other
12347-versavel.jpg	a woman standing in front of a large building			
		a woman stand in front of a large building	What do a woman stand in?	in front of a large building
		a woman stand in front of a large building	Who stand in front of a large building?	a woman
21798-cherries.jpg	a basket filled with lots of fruits and vegetables			
		a basket filled with lots of fruits and vegetables	What filled with lots of fruits and vegetables?	a basket
		a basket filled with lots of fruits and vegetables	What did a basket fill with?	with lots of fruits and vegetables
06802-madonna.jpg	a woman sitting next to a little boy			
		a woman sit next to a little boy	Who sit next to a little boy?	a woman
		a woman sit next to a little boy	Who do a woman sit next to?	to a little boy
13061-boardman.jpg	a man standing in front of a stack of baskets			
		a man stand in front of a stack of baskets	What do a man stand in front of a?	stack of baskets
		a man stand in front of a stack of baskets	Who stand in front of a stack of baskets?	a man
		a man stand in front of a stack of baskets	What do a man stand in front of a stack of?	of baskets
		a man stand in front of a stack of baskets	What do a man stand in stack of baskets?	in front of a
34314-maruce14.jpg	a painting of a <unk> with a bunch of statues			
32888-0eliodo.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
12499-12krel1.jpg	a woman wearing a black jacket and a black jacket			
		a woman wear a black jacket and a black jacket	What do a woman wear?	a black jacket and a black jacket
		a woman wear a black jacket and a black jacket	Who wear a black jacket and a black jacket?	a woman
09689-galleri2.jpg	a clock that is on top of a wall			
38065-old_woma.jpg	a man is sitting on the floor with his hands			
		a man is sitting on the floor with his hands	Who is sitting on the floor with his hands?	a man
		a man is sitting on the floor with his hands	What is a man sitting on the floor with?	with his hands
		a man is sitting on the floor with his hands	What is a man sitting on with his hands?	on the floor
34689-grif_05.jpg	a man standing in front of a metal fence			
		a man stand in front of a metal fence	Who stand in front of a metal fence?	a man
		a man stand in front of a metal fence	What do a man stand in?	in front of a metal fence
14652-02baronc.jpg	a large ornate clock in the middle of a building			
29759-stillute.jpg	a close up of a pair of scissors on a table			
39319-2ecce.jpg	a group of people sitting on top of a boat			
		a group of people sit on top of a boat	What sit on top of a boat?	a group of people
		a group of people sit on top of a boat	What do a group of people sit on?	on top of a boat
		a group of people sit on top of a boat	Where do a group of people sit?	on top of a boat
12362-tivoli1.jpg	a view of a city in the distance			
06779-pompei.jpg	a group of people sitting around a building			
		a group of people sit around a building	What do a group of people sit around?	a building
		a group of people sit around a building	What sit around a building?	a group of people
14663-13baronc.jpg	an old woman standing in front of a building			
		an old woman stand in front of a building	What do an old woman stand in?	in front of a building
		an old woman stand in front of a building	Who stand in front of a building?	an old woman
16717-portcath.jpg	a man wearing a black jacket and a black jacket			
		a man wear a black jacket and a black jacket	Who wear a black jacket and a black jacket?	a man
		a man wear a black jacket and a black jacket	What do a man wear?	a black jacket and a black jacket
00907-armadio1.jpg	a clock on the side of a building			
28398-battle.jpg	a group of people sitting on top of a bed			
		a group of people sit on top of a bed	What sit on top of a bed?	a group of people
		a group of people sit on top of a bed	What do a group of people sit on?	on top of a bed
		a group of people sit on top of a bed	Where do a group of people sit?	on top of a bed
14682-triptyc1.jpg	a wooden clock with a painting on it			
12231-pre_v_6.jpg	a painting of a woman standing next to a statue			
		a painting of a woman stand next to a statue	What stand next to a statue?	a painting of a woman
		a painting of a woman stand next to a statue	What do a painting of a woman stand next to?	to a statue
04018-triptyc2.jpg	a wooden clock with a painting on it			
24010-zeno1p.jpg	a group of people standing next to a wall			
		a group of people stand next to a wall	What stand next to a wall?	a group of people
		a group of people stand next to a wall	What do a group of people stand next to?	to a wall
17288-selfpo15.jpg	a close up of a person wearing a suit and tie			
		a close up of a person wear a suit and tie	What wear a suit and tie?	a close up of a person
		a close up of a person wear a suit and tie	What do a close up of a person wear?	a suit and tie
06337-01games.jpg	a large group of people standing around a building			
		a large group of people stand around a building	What stand around a building?	a large group of people
		a large group of people stand around a building	What do a large group of people stand around?	around a building
10747-peasant.jpg	a statue of a woman sitting on a statue			
		a statue of a woman sit on a statue	What sit on a statue?	a statue of a woman
		a statue of a woman sit on a statue	What do a statue of a woman sit on?	on a statue
39026-7europe.jpg	a group of people standing around in front of a wall			
		a group of people stand around in front of a wall	What do a group of people stand around in?	in front of a wall
		a group of people stand around in front of a wall	What stand around in front of a wall?	a group of people
20022-floating.jpg	a flock of birds that are standing in the water			
		a flock of birds that are stand in the water	What stand in the water?	a flock of birds that are
		a flock of birds that are stand in the water	What do a flock of birds that are stand in?	in the water
34266-madonna.jpg	a group of people are playing tennis in a room			
		a group of people are playing tennis in a room	What are a group of people playing in a room?	tennis
		a group of people are playing tennis in a room	What are playing tennis in a room?	a group of people
		a group of people are playing tennis in a room	What are a group of people playing tennis in?	in a room
38631-witches.jpg	a group of people sitting in a dark room			
		a group of people sit in a dark room	What sit in a dark room?	a group of people
		a group of people sit in a dark room	What do a group of people sit in?	in a dark room
42460-virgin_c.jpg	a painting of a flower arrangement in a vase			
44753-dwarf.jpg	a man standing next to a cow next to a man			
		a man standing next to a cow next to a man	Who a man standing next to a cow next to?	to a man
		a man standing next to a cow next to a man	Who standing next to a cow next to a man?	a man
		a man standing next to a cow next to a man	What a man standing next to next to a man?	to a cow
03445-14adorat.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
32652-class.jpg	a group of people standing around each other			
		a group of people stand around each other	What stand around each other?	a group of people
		a group of people stand around each other	What do a group of people stand around?	around each other
40026-brothe09.jpg	a woman standing in front of a wall with a painting on it			
		a woman stand in front of a wall with a painting on it	What do a woman stand in?	in front of a wall with a painting on it
19908-06henry8.jpg	a man wearing a red shirt and a tie			
		a man wear a red shirt and a tie	Who wear a red shirt and a tie?	a man
		a man wear a red shirt and a tie	What do a man wear?	a red shirt and a tie
34401-louisxiv.jpg	a man standing next to a brown horse			
		a man stand next to a brown horse	Who stand next to a brown horse?	a man
		a man stand next to a brown horse	What do a man stand next to?	to a brown horse
31409-3adorat.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
22538-2assump1.jpg	a group of people standing around a stone wall			
		a group of people stand around a stone wall	What stand around a stone wall?	a group of people
		a group of people stand around a stone wall	What do a group of people stand around?	around a stone wall
13726-rosso.jpg	a clock on a wall in a room			
39300-02ceilin.jpg	a man laying in a bed with a child			
		a man lay in a bed with a child	What did a man lie in?	in a bed with a child
		a man lay in a bed with a child	Who lay in a bed with a child?	a man
09070-babel.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
08479-portpope.jpg	a man in a red hat using a laptop			
		a man in a red hat use a laptop	Who use a laptop?	a man in a red hat
		a man in a red hat use a laptop	What do a man in a red hat use?	a laptop
26593-08_3ce8.jpg	a couple of people that are laying down			
		a couple of people that are lay down	What lay down?	a couple of people that are
06013-regents.jpg	a group of people sitting around a couch			
		a group of people sit around a couch	What do a group of people sit around?	a couch
		a group of people sit around a couch	What sit around a couch?	a group of people
31095-2proce01.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
34050-2renoi30.jpg	a woman sitting next to a girl in a chair			
		a woman sit next to a girl in a chair	Who do a woman sit next to?	to a girl in a chair
		a woman sit next to a girl in a chair	Who sit next to a girl in a chair?	a woman
05080-port_wom.jpg	a woman in a red dress and a tie			
02483-2busts3.jpg	a woman wearing a hat and a black dress			
		a woman wear a hat and a black dress	What do a woman wear?	a hat and a black dress
		a woman wear a hat and a black dress	Who wear a hat and a black dress?	a woman
22199-04chess.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
33338-genius.jpg	a group of people standing on top of elephants			
		a group of people stand on top of elephants	What do a group of people stand on?	on top of elephants
		a group of people stand on top of elephants	Where do a group of people stand?	on top of elephants
		a group of people stand on top of elephants	What stand on top of elephants?	a group of people
40265-organ_1.jpg	a black and white photo of a man and a statue			
34475-1virgin.jpg	a group of people sitting on top of a building			
		a group of people sit on top of a building	What do a group of people sit on?	on top of a building
		a group of people sit on top of a building	What sit on top of a building?	a group of people
		a group of people sit on top of a building	Where do a group of people sit?	on top of a building
26732-lu14ami.jpg	an old picture of a woman and a woman			
23508-annuncia.jpg	a woman standing next to a stone wall			
		a woman stand next to a stone wall	What do a woman stand next to?	to a stone wall
		a woman stand next to a stone wall	Who stand next to a stone wall?	a woman
42325-agony_ga.jpg	a couple of women sitting on top of a couch			
		a couple of women sit on top of a couch	What sit on top of a couch?	a couple of women
		a couple of women sit on top of a couch	What do a couple of women sit on?	on top of a couch
		a couple of women sit on top of a couch	Where do a couple of women sit?	on top of a couch
43085-estuary.jpg	a boat that is floating in the water			
07174-canal218.jpg	an old church with a castle in the background			
